byte offset: 0
first index: 48216
index count: 2766
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

14196 14197 14198
14196 14198 14199
14200 14198 14197
14200 14197 14201
14201 14202 14200
14201 14203 14202
14202 14203 14204
14205 14206 14199
14205 14207 14206
14208 14209 14210
14211 14212 14213
14214 14215 14216
14214 14216 14217
14215 14218 14216
14215 14219 14218
14220 14218 14219
14220 14221 14218
14220 14222 14221
14223 14214 14224
14223 14224 14225
14226 14227 14228
14229 14230 14231
14232 14233 14234
14232 14234 14235
14233 14232 14236
14234 14237 14235
14234 14238 14237
14238 14239 14237
14240 14241 14242
14240 14242 14243
14241 14244 14242
14241 14245 14244
14246 14247 14248
14246 14248 14249
14248 14250 14249
14248 14251 14250
14252 14253 14254
14252 14254 14255
14256 14254 14253
14256 14253 14257
14258 14259 14260
14258 14260 14261
14262 14258 14261
14262 14261 14263
14264 14265 14266
14264 14267 14265
14268 14269 14270
14270 14269 14271
14270 14271 14272
14268 14273 14269
14274 14271 14269
14274 14269 14273
14275 14276 14277
14275 14277 14278
14279 14280 14281
14279 14281 14282
14279 14282 14283
14279 14283 14284
14285 14286 14287
14285 14287 14288
14289 14290 14291
14289 14291 14292
14293 14294 14295
14293 14295 14296
14297 14298 14299
14297 14299 14300
14301 14297 14300
14301 14302 14297
14303 14304 14305
14303 14305 14306
14307 14308 14309
14307 14309 14310
14311 14312 14313
14314 14311 14313
14314 14313 14315
14316 14314 14315
14316 14315 14317
14318 14314 14316
14316 14319 14318
14319 14316 14317
14318 14320 14314
14321 14314 14320
14314 14321 14311
14319 14317 14322
14319 14322 14323
14319 14323 14324
14315 14313 14325
14315 14325 14326
14327 14326 14325
14327 14325 14328
14329 14327 14328
14329 14330 14327
14330 14329 14331
14330 14331 14332
14333 14332 14331
14333 14334 14332
14333 14335 14334
14336 14324 14323
14336 14337 14324
14336 14323 14338
14336 14338 14339
14340 14339 14338
14340 14341 14339
14340 14342 14341
14340 14343 14342
14343 14344 14342
14343 14345 14344
14338 14346 14340
14343 14340 14347
14345 14343 14347
14347 14340 14346
14345 14347 14348
14349 14347 14346
14347 14349 14350
14347 14350 14348
14345 14348 14351
14346 14338 14352
14322 14352 14338
14322 14338 14323
14322 14353 14352
14322 14317 14353
14346 14352 14354
14354 14352 14353
14349 14346 14354
14342 14344 14355
14355 14344 14356
14315 14353 14317
14315 14326 14353
14354 14353 14326
14354 14326 14327
14330 14349 14354
14330 14354 14327
14330 14350 14349
14330 14332 14350
14332 14357 14350
14350 14357 14358
14357 14359 14358
14332 14334 14357
14357 14334 14360
14357 14360 14359
14355 14356 14361
14361 14356 14362
14361 14362 14363
14361 14363 14364
14355 14361 14365
14364 14365 14366
14367 14364 14363
14364 14368 14365
14369 14368 14364
14369 14364 14367
14370 14368 14369
14370 14371 14368
14358 14359 14372
14373 14358 14372
14358 14373 14374
14348 14358 14374
14350 14358 14348
14351 14348 14374
14375 14351 14374
14375 14376 14351
14351 14376 14377
14377 14376 14378
14377 14378 14379
14379 14380 14377
14377 14380 14345
14345 14351 14377
14345 14380 14344
14380 14379 14381
14344 14380 14381
14356 14344 14381
14382 14356 14381
14362 14356 14382
14383 14384 14385
14383 14385 14386
14387 14384 14383
14387 14383 14388
14389 14386 14385
14389 14385 14390
14391 14389 14390
14391 14390 14392
14388 14393 14387
14394 14387 14393
14394 14395 14387
14388 14396 14393
14388 14383 14397
14397 14383 14386
14388 14397 14398
14396 14388 14398
14397 14386 14399
14399 14386 14389
14399 14389 14400
14389 14391 14401
14389 14401 14400
14392 14402 14391
14403 14391 14402
14404 14391 14403
14404 14403 14405
14390 14406 14392
14406 14407 14392
14406 14365 14407
14408 14407 14365
14395 14394 14409
14395 14409 14410
14355 14365 14406
14355 14406 14411
14390 14411 14406
14385 14411 14390
14385 14412 14411
14384 14412 14385
14384 14413 14412
14413 14384 14387
14413 14387 14395
14413 14395 14410
14413 14410 14414
14415 14412 14413
14415 14413 14414
14415 14411 14412
14415 14416 14411
14355 14411 14416
14337 14410 14409
14337 14336 14410
14410 14336 14339
14410 14339 14414
14415 14414 14339
14415 14339 14341
14342 14416 14415
14342 14415 14341
14342 14355 14416
14417 14418 14419
14418 14420 14419
14420 14418 14333
14333 14418 14421
14335 14333 14421
14333 14422 14420
14420 14422 14419
14333 14423 14422
14424 14423 14333
14425 14424 14333
14426 14424 14425
14425 14333 14331
14425 14331 14427
14331 14428 14427
14331 14329 14428
14329 14429 14428
14430 14429 14329
14328 14430 14329
14328 14431 14430
14432 14431 14328
14432 14328 14433
14328 14434 14433
14328 14435 14434
14325 14435 14328
14436 14435 14325
14436 14325 14437
14438 14437 14325
14438 14325 14313
14313 14439 14438
14313 14440 14439
14440 14313 14312
14428 14429 14441
14442 14443 14444
14443 14360 14444
14445 14360 14443
14359 14360 14445
14444 14360 14446
14446 14335 14444
14334 14335 14446
14360 14334 14446
14372 14359 14445
14447 14448 14449
14448 14450 14449
14448 14451 14450
14452 14450 14451
14453 14451 14370
14370 14451 14371
14396 14454 14455
14454 14456 14457
14454 14457 14458
14459 14458 14457
14459 14457 14460
