byte offset: 0
first index: 56658
index count: 4026
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

14549 14550 14551
14550 14549 14552
14550 14553 14551
14554 14551 14553
14549 14551 14554
14553 14555 14554
14556 14549 14554
14553 14550 14557
14557 14555 14553
14558 14552 14549
14549 14556 14558
14556 14559 14558
14552 14558 14560
14559 14560 14558
14555 14557 14561
14560 14559 14562
14563 14562 14559
14559 14556 14563
14556 14564 14563
14564 14565 14563
14566 14563 14565
14563 14566 14567
14562 14563 14567
14565 14568 14566
14568 14565 14569
14564 14569 14565
14570 14568 14569
14568 14570 14571
14569 14572 14570
14572 14569 14564
14573 14571 14570
14570 14572 14573
14571 14573 14574
14575 14574 14573
14575 14573 14572
14574 14575 14576
14572 14577 14575
14577 14576 14575
14577 14572 14578
14579 14577 14578
14578 14580 14579
14581 14580 14578
14580 14581 14582
14582 14583 14580
14583 14579 14580
14583 14582 14584
14585 14584 14582
14582 14581 14585
14581 14586 14585
14586 14587 14585
14584 14585 14587
14587 14586 14588
14579 14583 14589
14589 14577 14579
14577 14589 14590
14576 14577 14590
14586 14591 14588
14591 14586 14592
14581 14592 14586
14592 14593 14591
14593 14592 14594
14594 14595 14593
14595 14594 14596
14597 14596 14594
14597 14594 14592
14592 14581 14597
14581 14598 14597
14599 14597 14598
14597 14599 14600
14596 14597 14600
14596 14600 14601
14595 14596 14601
14602 14601 14600
14600 14599 14602
14601 14602 14603
14604 14603 14602
14604 14602 14599
14603 14604 14605
14606 14605 14604
14605 14606 14607
14606 14604 14608
14604 14599 14608
14598 14581 14609
14581 14578 14609
14572 14609 14578
14609 14572 14610
14572 14564 14610
14611 14599 14598
14609 14612 14598
14612 14609 14613
14610 14613 14609
14613 14610 14614
14614 14610 14615
14598 14616 14611
14616 14598 14612
14608 14599 14611
14564 14556 14610
14610 14556 14615
14556 14617 14615
14556 14554 14617
14618 14617 14554
14618 14554 14555
14617 14618 14619
14618 14620 14619
14618 14621 14620
14621 14618 14622
14623 14621 14622
14621 14623 14624
14622 14625 14623
14625 14622 14626
14622 14618 14626
14627 14625 14626
14627 14626 14618
14627 14618 14555
14625 14627 14628
14555 14628 14627
14629 14621 14624
14621 14629 14630
14620 14621 14630
14630 14631 14620
14629 14631 14630
14631 14629 14632
14628 14555 14561
14633 14620 14631
14620 14633 14634
14633 14635 14634
14636 14634 14635
14637 14634 14636
14634 14637 14638
14639 14637 14636
14637 14639 14640
14638 14637 14641
14641 14642 14638
14643 14642 14641
14643 14637 14640
14637 14643 14641
14642 14643 14644
14645 14636 14635
14636 14645 14639
