byte offset: 0
first index: 44766
index count: 4491
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

11888 11889 11890
11889 11891 11890
11889 11892 11891
11892 11893 11891
11891 11893 11894
11890 11891 11894
11893 11892 11895
11893 11896 11894
11896 11893 11897
11893 11898 11897
11893 11895 11898
11899 11896 11897
11900 11899 11897
11901 11896 11899
11896 11901 11894
11902 11901 11899
11902 11903 11901
11903 11904 11901
11901 11904 11905
11901 11905 11906
11901 11906 11907
11901 11907 11894
11895 11908 11898
11897 11909 11900
11909 11897 11898
11909 11910 11900
11910 11909 11911
11911 11909 11912
11912 11909 11898
11912 11898 11908
11911 11912 11913
11913 11912 11908
11914 11911 11913
11915 11910 11911
11916 11915 11911
11914 11917 11911
11911 11917 11916
11915 11916 11918
11916 11919 11918
11915 11918 11920
11915 11920 11910
11910 11920 11921
11918 11922 11920
11918 11919 11922
11922 11923 11920
11920 11923 11924
11921 11920 11924
11919 11925 11922
11922 11926 11923
11927 11923 11926
11923 11927 11924
11927 11928 11924
11924 11929 11921
11921 11929 11930
11930 11931 11921
11921 11931 11900
11931 11899 11900
11899 11931 11932
11932 11931 11933
11933 11934 11932
11934 11935 11932
11902 11932 11935
11902 11899 11932
11903 11902 11935
11936 11934 11933
11937 11936 11933
11935 11938 11903
11939 11938 11935
11939 11935 11940
11935 11941 11940
11940 11941 11942
11943 11942 11941
11944 11940 11942
11943 11941 11945
11934 11945 11935
11945 11941 11935
11940 11944 11946
11947 11940 11946
11946 11948 11947
11948 11949 11947
11950 11949 11948
11950 11951 11949
11952 11943 11945
11953 11952 11945
11954 11952 11953
11954 11953 11955
11955 11953 11956
11953 11957 11956
11958 11953 11945
11953 11958 11957
11958 11945 11934
11936 11958 11934
11959 11955 11956
11954 11955 11959
11954 11959 11960
11961 11959 11956
11960 11959 11962
11960 11962 11963
11963 11962 11964
11963 11964 11965
11965 11964 11966
11967 11965 11966
11968 11966 11964
11968 11964 11962
11969 11966 11968
11967 11966 11970
11966 11971 11970
11970 11971 11972
11971 11973 11972
11969 11968 11974
11968 11975 11974
11975 11968 11976
11968 11977 11976
11977 11968 11978
11979 11977 11978
11979 11978 11980
11981 11979 11980
11979 11981 11982
11977 11979 11983
11979 11984 11983
11976 11977 11985
11977 11983 11985
11985 11983 11986
11983 11987 11986
11986 11987 11988
11980 11978 11989
11978 11962 11989
11978 11968 11962
11980 11989 11990
11991 11980 11990
11981 11980 11991
11959 11989 11962
11990 11989 11961
11989 11959 11961
11982 11981 11992
11981 11993 11992
11992 11993 11994
11993 11995 11994
11995 11996 11994
11995 11997 11996
11987 11998 11988
11999 11988 11998
11999 11998 12000
11999 12000 12001
12002 11999 12001
12000 11998 12003
12001 12000 12003
11998 12004 12003
12005 12001 12003
12005 12003 12006
12007 12005 12006
12007 12006 12008
12009 12007 12008
12010 12008 12006
12008 12010 12011
12012 12008 12011
12013 12010 12006
12010 12013 12014
12010 12014 12015
12006 12016 12013
12003 12016 12006
12003 12004 12017
12018 12017 12004
12004 12019 12018
12018 12019 12020
12008 12012 12021
12021 12012 12022
12022 12023 12021
