byte offset: 0
first index: 56124
index count: 6297
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

14991 14992 14993
14994 14992 14991
14993 14992 14995
14992 14996 14995
14992 14997 14996
14996 14997 14998
14999 14996 14998
14994 14991 15000
14994 15000 15001
15001 15002 14994
15000 15003 15001
15001 15003 15004
15001 15004 15005
15001 15005 15006
15007 15001 15006
15002 15001 15007
15008 15002 15007
15009 15008 15007
15007 15006 15010
15007 15010 15011
15012 15011 15010
15013 15011 15012
15014 15011 15013
15012 15010 15015
15010 15016 15015
15010 15017 15016
15006 15017 15010
15018 15007 15011
15009 15007 15018
15018 15011 15019
15011 15014 15019
15020 15018 15019
15021 15018 15020
15009 15018 15022
15018 15023 15022
15018 15021 15023
15024 15009 15022
15024 15022 15025
15026 15024 15025
15026 15025 15027
15026 15027 15028
15026 15028 15029
15030 15026 15029
15030 15029 15031
15030 15031 15032
15031 15029 15033
15031 15033 15034
15032 15031 15034
15032 15034 15035
15035 15034 15036
15034 15037 15036
15034 15033 15037
15038 15030 15032
15038 15032 15039
15039 15032 15035
15040 15038 15039
14997 15041 15042
14997 15042 14998
14998 15042 15043
14998 15043 14999
14999 15043 15044
15043 15045 15044
15046 15047 15048
15049 15046 15048
15047 15050 15048
15048 15050 15051
15048 15051 15052
15051 15053 15052
15052 15053 15054
15055 15053 15051
15053 15056 15054
15053 15055 15056
15049 15057 15046
15058 15057 15049
15049 15059 15058
15057 15058 15060
15058 15061 15060
15058 15062 15061
15058 15063 15062
15064 15063 15058
15064 15058 15059
15065 15064 15059
15064 15066 15063
15064 15067 15066
15068 15066 15067
15069 15068 15067
15070 15069 15067
15068 15071 15066
15066 15071 15072
15066 15072 15073
15063 15066 15073
15074 15067 15064
15075 15074 15064
15075 15064 15065
15074 15076 15067
15067 15076 15070
15077 15076 15074
15078 15077 15074
15075 15079 15074
15074 15079 15080
15074 15080 15078
15081 15079 15075
15081 15082 15079
15083 15082 15081
15083 15084 15082
15083 15085 15084
15083 15086 15085
15087 15086 15083
15087 15088 15086
15088 15089 15086
15088 15090 15089
15090 15091 15089
15090 15092 15091
15093 15092 15090
15094 15090 15088
15094 15088 15087
15093 15090 15094
15095 15094 15087
15096 15094 15095
15096 15093 15094
15097 15096 15095
15056 15098 15099
15055 15098 15056
15100 15101 15102
15103 15102 15101
15102 15103 15104
15104 15105 15102
15105 15104 15106
15106 15107 15105
15105 15107 15108
15107 15106 15109
15109 15110 15107
15110 15109 15111
15112 15104 15103
15104 15112 15113
15113 15106 15104
15114 15113 15112
15113 15114 15115
15115 15116 15113
15106 15113 15116
15116 15109 15106
15116 15115 15117
15117 15118 15116
15109 15116 15118
15118 15111 15109
15118 15117 15119
15120 15119 15117
15119 15120 15121
15121 15122 15119
15122 15121 15123
15119 15124 15118
15124 15119 15122
15111 15118 15124
15125 15115 15114
15115 15125 15126
15126 15117 15115
15117 15126 15120
15127 15120 15126
15127 15121 15120
15128 15126 15125
15126 15128 15129
15126 15129 15127
15130 15128 15125
15125 15131 15130
15128 15130 15132
15132 15130 15133
15130 15131 15133
15131 15134 15133
15122 15135 15124
15135 15111 15124
15111 15135 15136
15137 15136 15135
15138 15137 15135
15137 15138 15139
15140 15139 15138
15139 15140 15141
15136 15137 15142
15142 15143 15136
15143 15142 15144
15143 15144 15145
15110 15136 15143
15136 15110 15111
15135 15122 15138
15123 15138 15122
15138 15123 15140
15139 15146 15137
15146 15139 15147
15148 15146 15147
15139 15149 15147
15149 15139 15141
15150 15147 15149
15147 15150 15151
15152 15147 15151
15152 15148 15147
15153 15149 15141
15149 15153 15154
15110 15143 15155
15143 15156 15155
15157 15155 15156
15156 15158 15157
15158 15159 15157
15159 15160 15157
15155 15157 15161
15161 15162 15155
15162 15161 15163
15163 15108 15162
15108 15163 15164
15107 15162 15108
15162 15107 15110
15110 15155 15162
15165 15108 15164
15105 15108 15165
15166 15105 15165
15166 15102 15105
15100 15102 15166
15167 15100 15168
15169 15167 15168
15169 15168 15170
15167 15169 15171
15167 15101 15100
15101 15167 15172
15172 15167 15171
15103 15101 15172
15112 15103 15172
15112 15172 15173
15173 15172 15171
15134 15173 15171
15112 15173 15131
15134 15131 15173
15112 15131 15114
15125 15114 15131
15143 15174 15156
15143 15145 15174
15144 15175 15145
15144 15176 15175
15176 15144 15177
15144 15142 15177
15142 15178 15177
15179 15178 15142
15179 15142 15137
15180 15179 15137
15146 15180 15137
15181 15182 15183
15182 15184 15183
15184 15185 15183
15185 15186 15183
15183 15187 15181
15187 15183 15188
15186 15188 15183
15154 15187 15188
15188 15186 15150
15149 15188 15150
15154 15188 15149
15150 15186 15189
15151 15150 15189
15151 15189 15190
15151 15190 15191
15152 15151 15191
15181 15192 15182
15141 15193 15153
15193 15141 15140
15140 15194 15193
15194 15140 15123
15123 15195 15194
15195 15123 15121
15121 15127 15195
15196 15197 15198
15199 15196 15198
15198 15200 15199
15198 15201 15200
15202 15200 15201
15202 15203 15200
15203 15202 15204
15200 15205 15199
15203 15205 15200
15202 15206 15204
15207 15208 15209
15210 15207 15209
15211 15212 15213
15212 15214 15213
15213 15214 15215
15216 15217 15218
15219 15216 15218
15219 15218 15220
15221 15222 15223
15222 15221 15224
15225 15223 15222
15223 15225 15226
15223 15227 15221
15227 15223 15228
15226 15228 15223
15228 15226 15229
15228 15230 15227
15230 15228 15231
15229 15231 15228
15231 15229 15232
15233 15224 15221
15224 15233 15234
15235 15234 15233
15233 15236 15235
15237 15235 15236
15236 15238 15237
15239 15237 15238
15239 15240 15237
15235 15237 15240
15240 15239 15241
15238 15236 15242
15243 15242 15236
15236 15233 15243
15242 15243 15244
15234 15235 15245
15240 15245 15235
15221 15243 15233
15243 15221 15227
15227 15244 15243
15244 15227 15230
15241 15246 15240
15245 15240 15246
15246 15247 15245
15247 15246 15248
15249 15248 15246
15246 15241 15249
15248 15249 15250
15247 15234 15245
15247 15251 15234
15252 15234 15251
15224 15234 15252
15253 15224 15252
15224 15253 15222
15254 15222 15253
15222 15254 15225
15255 15256 15257
15255 15258 15256
15256 15259 15257
15260 15255 15257
15257 15261 15260
15258 15262 15256
15262 15263 15256
15256 15263 15259
15262 15264 15263
15263 15265 15259
15264 15266 15263
15266 15264 15267
15266 15268 15263
15263 15268 15265
15266 15269 15268
15255 15260 15270
15271 15270 15260
15270 15271 15272
15273 15271 15260
15260 15274 15273
15274 15260 15261
15275 15274 15261
15275 15276 15274
15276 15275 15277
15278 15277 15275
15277 15278 15279
15274 15280 15273
15280 15274 15276
15281 15273 15280
15273 15281 15282
15283 15279 15278
15279 15283 15284
15283 15285 15284
15286 15282 15281
15282 15286 15287
15286 15288 15287
15288 15286 15289
15289 15290 15288
15290 15289 15291
15288 15292 15287
15292 15288 15293
15293 15288 15290
15294 15287 15292
15295 15282 15287
15295 15287 15294
15296 15282 15295
15297 15282 15296
15297 15273 15282
15297 15271 15273
15272 15271 15297
15298 15290 15291
15293 15290 15299
15299 15290 15298
15300 15301 15302
15302 15303 15300
15304 15300 15303
15300 15304 15305
15305 15301 15300
15306 15305 15304
15305 15306 15307
15307 15308 15305
15301 15305 15308
15308 15307 15309
15310 15307 15306
15307 15310 15311
15311 15309 15307
15312 15311 15310
15311 15312 15313
15313 15314 15311
15309 15311 15314
15314 15313 15267
15269 15313 15312
15313 15269 15266
15267 15313 15266
15269 15315 15316
15269 15317 15315
15317 15318 15315
15319 15318 15317
15320 15315 15318
15315 15320 15316
15320 15321 15316
15322 15318 15319
15318 15323 15320
15318 15322 15324
15324 15323 15318
15325 15323 15324
15326 15325 15324
15327 15326 15324
15322 15327 15324
15327 15328 15326
15326 15329 15325
15328 15330 15326
15326 15330 15331
15331 15329 15326
15332 15329 15331
15333 15331 15330
15331 15333 15334
15334 15332 15331
15333 15335 15334
15335 15336 15334
15332 15334 15336
15268 15316 15337
15268 15337 15265
15269 15316 15268
15338 15339 15340
15339 15338 15341
15342 15341 15338
15341 15342 15343
15344 15343 15342
15343 15344 15345
15346 15345 15344
15345 15346 15347
15348 15347 15346
15347 15348 15349
15350 15349 15348
15350 15351 15349
15352 15353 15354
15353 15352 15355
15355 15356 15353
15356 15355 15357
15354 15358 15352
15358 15354 15359
15359 15360 15358
15360 15359 15361
15352 15362 15355
15355 15362 15357
15362 15352 15363
15364 15358 15360
15358 15364 15365
15352 15365 15363
15365 15352 15358
15366 15365 15364
15365 15366 15367
15367 15363 15365
15363 15367 15368
15363 15368 15369
15362 15363 15369
15370 15367 15366
15367 15370 15371
15371 15368 15367
15368 15371 15372
15369 15368 15373
15372 15373 15368
15373 15372 15374
15370 15375 15371
15375 15370 15376
15376 15377 15375
15378 15375 15377
15375 15378 15379
15379 15371 15375
15371 15379 15372
15380 15379 15378
15379 15380 15381
15381 15372 15379
15372 15381 15374
15377 15376 15382
15378 15383 15380
15383 15378 15384
15377 15384 15378
15384 15385 15383
15385 15384 15386
15387 15386 15384
15384 15377 15387
15382 15387 15377
15386 15387 15388
15389 15388 15387
15387 15382 15389
15388 15389 15390
15386 15391 15385
15391 15386 15392
15388 15392 15386
15392 15393 15391
15393 15392 15394
15395 15394 15392
15392 15388 15395
15390 15395 15388
15394 15395 15396
15397 15396 15395
15395 15390 15397
15396 15397 15398
15394 15399 15393
15399 15394 15400
15396 15400 15394
15400 15401 15399
15401 15400 15402
15403 15402 15400
15400 15396 15403
15398 15403 15396
15402 15403 15404
15405 15404 15403
15403 15398 15405
15404 15405 15406
15402 15407 15401
15407 15402 15408
15404 15408 15402
15408 15409 15407
15409 15408 15410
15411 15410 15408
15408 15404 15411
15406 15411 15404
15410 15411 15412
15413 15412 15411
15411 15406 15413
15412 15413 15414
15413 15415 15414
15415 15413 15416
15406 15416 15413
15416 15417 15415
15417 15416 15418
15418 15419 15417
15419 15418 15420
15405 15421 15406
15421 15418 15416
15416 15406 15421
15422 15420 15418
15418 15421 15422
15423 15422 15421
15422 15423 15424
15424 15425 15422
15420 15422 15425
15425 15424 15426
15421 15405 15423
15427 15426 15424
15426 15427 15428
15429 15428 15427
15428 15429 15430
15427 15431 15429
15431 15427 15432
15424 15432 15427
15432 15424 15423
15432 15397 15431
15397 15432 15398
15423 15398 15432
15398 15423 15405
15433 15430 15429
15430 15433 15434
15435 15434 15433
15434 15435 15436
15433 15437 15435
15437 15433 15438
15429 15438 15433
15438 15429 15431
15438 15389 15437
15389 15438 15390
15431 15390 15438
15390 15431 15397
15439 15436 15435
15436 15439 15440
15441 15440 15439
15440 15441 15442
15439 15443 15441
15443 15439 15444
15435 15444 15439
15444 15435 15437
15444 15376 15443
15376 15444 15382
15437 15382 15444
15382 15437 15389
15370 15443 15376
15443 15370 15445
15445 15441 15443
15370 15446 15445
15446 15370 15366
15366 15447 15446
15447 15366 15364
15364 15448 15447
15448 15364 15360
15360 15449 15448
15449 15360 15361
15450 15448 15449
15448 15450 15451
15451 15447 15448
15452 15451 15450
15451 15452 15453
15454 15453 15452
15453 15454 15455
15456 15451 15453
15453 15455 15456
15451 15456 15457
15447 15451 15457
15457 15446 15447
15446 15457 15458
15457 15459 15458
15456 15459 15457
15459 15460 15458
15460 15461 15458
15445 15458 15461
15458 15445 15446
15461 15460 15462
15441 15445 15461
15461 15442 15441
15442 15461 15462
15463 15464 15465
15465 15466 15463
15466 15465 15467
15467 15468 15466
15468 15469 15466
15469 15468 15470
15471 15470 15468
15472 15471 15468
15468 15467 15472
15471 15472 15473
15473 15474 15471
15474 15475 15471
15470 15471 15475
15475 15474 15476
15477 15476 15474
15478 15477 15474
15474 15473 15478
15477 15478 15479
15476 15477 15480
15481 15466 15469
15463 15466 15481
15481 15469 15482
15483 15481 15482
15483 15463 15481
15484 15463 15483
15484 15483 15485
15486 15475 15476
15475 15486 15487
15488 15476 15480
15476 15488 15486
15488 15489 15486
15489 15488 15490
15491 15486 15489
15486 15491 15487
15492 15487 15491
15487 15492 15493
15470 15487 15493
15493 15469 15470
15469 15493 15494
15487 15470 15475
15495 15493 15492
15493 15495 15494
15496 15494 15495
15494 15496 15497
15497 15498 15494
15498 15469 15494
15498 15482 15469
15483 15482 15498
15483 15498 15497
15499 15483 15497
15497 15500 15499
15497 15496 15500
15499 15485 15483
15499 15500 15501
15502 15503 15504
15503 15502 15505
15504 15506 15502
15506 15504 15507
15507 15508 15506
15508 15507 15509
15509 15510 15508
15510 15509 15511
15511 15512 15510
15512 15511 15513
15514 15512 15513
15514 15513 15515
15503 15505 15516
15503 15516 15517
15503 15517 15518
15519 15520 15515
15520 15519 15521
15522 15521 15519
15521 15522 15523
15524 15523 15522
15523 15524 15525
15526 15525 15524
15525 15526 15527
15528 15527 15526
15527 15528 15529
15515 15530 15519
15531 15522 15519
15532 15524 15522
15522 15531 15532
15526 15524 15533
15524 15532 15533
15534 15526 15533
15526 15534 15528
15535 15528 15534
15536 15528 15535
15536 15529 15528
15537 15536 15535
15536 15537 15538
15537 15539 15538
15539 15537 15540
15540 15541 15539
15541 15540 15542
15542 15543 15541
15543 15542 15544
15544 15545 15543
15545 15544 15546
15546 15547 15545
15547 15546 15548
15548 15549 15547
