byte offset: 0
first index: 43851
index count: 2166
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

12140 12141 12142
12140 12142 12143
12144 12141 12140
12140 12145 12144
12146 12144 12145
12144 12146 12147
12148 12147 12146
12147 12148 12149
12145 12140 12150
12150 12151 12145
12151 12150 12152
12153 12152 12150
12152 12153 12154
12155 12150 12140
12150 12155 12153
12143 12155 12140
12156 12145 12151
12145 12156 12146
12149 12157 12147
12157 12149 12158
12146 12159 12148
12159 12146 12156
12147 12160 12144
12160 12147 12161
12161 12147 12157
12157 12158 12162
12163 12152 12154
12152 12163 12164
12163 12165 12164
12151 12166 12156
12167 12156 12166
12156 12167 12159
12166 12168 12167
12168 12166 12169
12170 12169 12166
12169 12170 12171
12164 12171 12170
12171 12164 12165
12166 12151 12170
12172 12169 12171
12171 12173 12172
12174 12172 12173
12172 12174 12175
12175 12176 12172
12169 12172 12176
12176 12168 12169
12176 12175 12177
12177 12178 12176
12168 12176 12178
12178 12177 12179
12173 12171 12180
12152 12170 12151
12170 12152 12164
12181 12178 12179
12178 12181 12182
12183 12182 12181
12182 12183 12184
12185 12184 12183
12184 12185 12186
12186 12187 12184
12187 12186 12188
12184 12189 12182
12189 12184 12187
12190 12189 12187
12189 12190 12191
12191 12168 12189
12168 12182 12189
12168 12191 12167
12192 12191 12190
12191 12192 12193
12193 12167 12191
12194 12193 12192
12192 12195 12194
12195 12192 12196
12190 12196 12192
12196 12197 12195
12197 12196 12198
12199 12195 12197
12195 12199 12200
12200 12194 12195
12194 12200 12201
12201 12202 12194
12193 12194 12202
12202 12201 12203
12203 12148 12202
12148 12203 12149
12204 12149 12203
12149 12204 12158
12202 12159 12193
12159 12202 12148
12205 12203 12201
12203 12205 12206
12206 12204 12203
12204 12162 12158
12196 12207 12198
12201 12208 12205
12208 12201 12200
12200 12209 12208
12200 12210 12209
12199 12210 12200
12210 12199 12211
12207 12212 12213
12207 12196 12212
12196 12190 12212
12187 12212 12190
12212 12187 12213
12167 12193 12159
12214 12215 12216
12215 12214 12217
12214 12218 12217
12218 12214 12219
12219 12220 12218
12220 12219 12221
12221 12222 12220
12222 12221 12223
12224 12222 12223
12222 12224 12225
12216 12215 12226
12227 12219 12214
12227 12214 12216
12216 12228 12227
12229 12227 12228
12227 12229 12230
12230 12231 12227
12219 12227 12231
12231 12221 12219
12231 12230 12232
12232 12233 12231
12221 12231 12233
12233 12223 12221
12233 12232 12234
12235 12233 12234
12233 12235 12236
12223 12233 12236
12237 12236 12235
12236 12237 12238
12238 12223 12236
12223 12238 12224
12239 12238 12237
12238 12239 12240
12240 12224 12238
12224 12240 12241
12241 12242 12224
12242 12241 12243
12244 12230 12229
12245 12234 12232
12232 12246 12245
12247 12246 12244
12246 12247 12248
12248 12245 12246
12245 12248 12249
12249 12250 12245
12250 12249 12251
12251 12252 12250
12252 12251 12253
12253 12254 12252
12254 12253 12255
12255 12256 12254
12256 12255 12257
12230 12244 12246
12246 12232 12230
12234 12245 12250
12235 12250 12252
12250 12235 12234
12237 12252 12254
12252 12237 12235
12239 12254 12256
12254 12239 12237
12258 12249 12248
12248 12259 12258
12260 12258 12259
12258 12260 12261
12261 12262 12258
12262 12261 12263
12263 12264 12262
12264 12263 12265
12265 12266 12264
12266 12265 12267
12267 12268 12266
12268 12267 12269
12269 12270 12268
12270 12269 12271
12259 12248 12247
12249 12258 12262
12251 12262 12264
12262 12251 12249
12253 12264 12266
12264 12253 12251
12255 12266 12268
12266 12255 12253
12257 12268 12270
12268 12257 12255
12272 12265 12263
12263 12273 12272
12273 12263 12261
12261 12274 12273
12274 12261 12260
12275 12271 12269
12269 12276 12275
12276 12269 12267
12267 12277 12276
12265 12272 12277
12277 12267 12265
12278 12273 12274
12273 12278 12279
12279 12272 12273
12272 12279 12280
12280 12277 12272
12277 12280 12281
12281 12276 12277
12276 12281 12282
12282 12275 12276
12275 12282 12283
12283 12284 12275
12271 12275 12284
12284 12283 12285
12286 12279 12278
12279 12286 12287
12287 12280 12279
12288 12287 12286
12288 12289 12287
12290 12287 12289
12289 12291 12290
12291 12292 12290
12292 12291 12293
12293 12294 12292
12294 12293 12295
12295 12296 12294
12296 12295 12297
12297 12298 12296
12298 12297 12299
12287 12290 12300
12301 12290 12292
12290 12301 12300
12294 12301 12292
12301 12294 12302
12296 12302 12294
12302 12296 12303
12304 12296 12298
12296 12304 12303
12281 12300 12301
12302 12281 12301
12300 12281 12280
12280 12287 12300
12281 12302 12282
12303 12282 12302
12282 12303 12283
12285 12303 12304
12303 12285 12283
12305 12306 12307
12306 12305 12308
12307 12309 12305
12309 12307 12310
12310 12311 12309
12311 12310 12312
12313 12307 12306
12307 12313 12314
12314 12310 12307
12310 12314 12315
12315 12312 12310
12312 12315 12316
12317 12314 12313
12314 12317 12318
12318 12315 12314
12319 12318 12317
12318 12319 12320
12321 12320 12319
12320 12321 12322
12322 12323 12320
12323 12322 12324
12324 12325 12323
12325 12324 12326
12327 12320 12323
12320 12327 12318
12315 12318 12327
12327 12316 12315
12328 12323 12325
12323 12328 12327
12316 12327 12328
12329 12322 12321
12322 12329 12330
12330 12324 12322
12331 12330 12329
12330 12331 12332
12332 12333 12330
12324 12330 12333
12333 12326 12324
12333 12332 12334
12334 12335 12333
12326 12333 12335
12335 12334 12336
12337 12325 12326
12325 12337 12338
12338 12328 12325
12339 12338 12337
12338 12339 12340
12341 12340 12339
12340 12341 12342
12342 12343 12340
12343 12342 12344
12345 12340 12343
12340 12345 12338
12328 12338 12345
12346 12335 12336
12335 12346 12347
12348 12347 12346
12347 12348 12349
12349 12337 12347
12337 12349 12339
12350 12349 12348
12349 12350 12351
12351 12339 12349
12339 12351 12341
12344 12352 12343
12352 12344 12353
12353 12354 12352
12354 12353 12355
12355 12356 12354
12356 12355 12357
12358 12354 12356
12354 12358 12359
12359 12352 12354
12311 12359 12358
12359 12311 12312
12352 12359 12360
12312 12360 12359
12360 12312 12316
12360 12343 12352
12343 12360 12345
12316 12345 12360
12345 12316 12328
12141 12144 12160
12155 12143 12361
12362 12363 12364
12363 12362 12365
12366 12362 12364
12362 12366 12367
12368 12367 12366
12367 12368 12369
12370 12369 12368
12369 12370 12371
12370 12372 12371
12372 12370 12373
12365 12374 12363
12375 12372 12373
12373 12376 12375
12372 12375 12377
12367 12378 12362
12378 12365 12362
12379 12365 12378
12365 12379 12380
12378 12367 12381
12369 12381 12367
12381 12369 12382
12371 12382 12369
12382 12371 12383
12384 12371 12372
12371 12384 12383
12385 12372 12377
12372 12385 12384
12385 12386 12384
12182 12168 12178
12347 12326 12335
12326 12347 12337
12228 12216 12387
12388 12389 12390
12389 12388 12391
12392 12391 12388
12393 12390 12389
12390 12393 12394
12395 12394 12393
12394 12395 12396
12397 12396 12395
12396 12397 12398
12399 12391 12392
12400 12399 12392
12400 12401 12399
12391 12399 12402
12391 12403 12389
12403 12391 12402
12403 12393 12389
12393 12403 12404
12404 12395 12393
12395 12404 12405
12395 12406 12397
12406 12395 12405
12401 12407 12399
12407 12401 12408
12408 12409 12407
12409 12408 12410
12410 12411 12409
12411 12410 12412
12412 12413 12411
12413 12412 12414
12415 12411 12413
12411 12415 12416
12416 12409 12411
12417 12416 12415
12416 12417 12418
12419 12418 12417
12418 12419 12420
12421 12420 12419
12420 12421 12422
12423 12422 12421
12422 12423 12424
12414 12425 12413
12425 12414 12426
12426 12427 12425
12427 12426 12428
12429 12425 12427
12425 12429 12430
12431 12430 12429
12430 12431 12432
12433 12432 12431
12432 12433 12434
12435 12434 12433
12434 12435 12436
12437 12436 12435
12436 12437 12438
12428 12439 12427
12439 12428 12440
12440 12441 12439
12441 12440 12442
12443 12439 12441
12439 12443 12444
12445 12444 12443
12444 12445 12446
12445 12447 12446
12447 12445 12448
12448 12449 12447
12449 12448 12450
12450 12451 12449
12451 12450 12452
12444 12427 12439
12427 12444 12429
12446 12429 12444
12429 12446 12431
12447 12431 12446
12431 12447 12433
12449 12433 12447
12433 12449 12435
12451 12435 12449
12435 12451 12437
12413 12430 12415
12430 12413 12425
12432 12415 12430
12415 12432 12417
12434 12417 12432
12417 12434 12419
12436 12419 12434
12419 12436 12421
12438 12421 12436
12421 12438 12423
12409 12416 12453
12418 12453 12416
12453 12418 12454
12420 12454 12418
12454 12420 12455
12422 12455 12420
12455 12422 12456
12424 12456 12422
12456 12424 12457
12453 12407 12409
12407 12453 12458
12454 12458 12453
12458 12454 12459
12455 12459 12454
12459 12455 12460
12456 12460 12455
12460 12456 12461
12457 12461 12456
12461 12457 12462
12458 12399 12407
12399 12458 12402
12459 12402 12458
12402 12459 12403
12404 12459 12460
12459 12404 12403
12405 12460 12461
12460 12405 12404
12462 12405 12461
12405 12462 12406
12463 12464 12465
12464 12463 12466
12467 12463 12465
12463 12467 12468
12466 12469 12464
12469 12466 12470
12471 12468 12467
12467 12472 12471
12472 12467 12473
12474 12473 12467
12467 12475 12474
12476 12474 12475
